SEED :  1
INIT_TIME :  0
FIN_TIME :  20000
ARRIVE_MIN :  10
ARRIVE_MAX :  20
QUIT_PROB :  20
CPU_MIN :  10
CPU_MAX :  20
DISK1_MIN :  40
DISK1_MAX :  60
DISK2_MIN :  50
DISK2_MAX :  70
5059  Job 356  arrives
5064  Job 230  finishes at CPU
5067  Job 152  finishes at Disk 1
5075  Job 357  arrives
5080  Job 231  finishes at CPU
5088  Job 62   finishes at Disk 2
5089  Job 358  arrives
5091  Job 6    finishes at CPU
5103  Job 359  arrives
5105  Job 232  finishes at CPU
5119  Job 360  arrives
5120  Job 64   finishes at Disk 1
5121  Job 41   finishes at CPU
5135  Job 361  arrives
5135  Job 233  finishes at CPU
5148  Job 145  finishes at Disk 2
5148  Job 362  arrives
5150  Job 234  finishes at CPU
5150  Job 234  finishes
5163  Job 363  arrives
5166  Job 235  finishes at CPU
5167  Job 68   finishes at Disk 1
5176  Job 100  finishes at CPU
5179  Job 364  arrives
5191  Job 236  finishes at CPU
5191  Job 236  finishes
5192  Job 365  arrives
5202  Job 97   finishes at CPU
5206  Job 147  finishes at Disk 2
5206  Job 366  arrives
5217  Job 156  finishes at Disk 1
5217  Job 237  finishes at CPU
5221  Job 367  arrives
5229  Job 238  finishes at CPU
5235  Job 368  arrives
5243  Job 103  finishes at CPU
5248  Job 369  arrives
5256  Job 239  finishes at CPU
5257  Job 158  finishes at Disk 1
5260  Job 370  arrives
5264  Job 13   finishes at Disk 2
5272  Job 240  finishes at CPU
5278  Job 371  arrives
5288  Job 43   finishes at CPU
5288  Job 372  arrives
5299  Job 241  finishes at CPU
5303  Job 373  arrives
5307  Job 69   finishes at Disk 1
5315  Job 45   finishes at CPU
5320  Job 374  arrives
5329  Job 63   finishes at Disk 2
5330  Job 375  arrives
5331  Job 242  finishes at CPU
5342  Job 376  arrives
5346  Job 243  finishes at CPU
5355  Job 377  arrives
5357  Job 162  finishes at Disk 1
5363  Job 42   finishes at CPU
5363  Job 42   finishes
5373  Job 378  arrives
5381  Job 99   finishes at CPU
5381  Job 99   finishes
5386  Job 379  arrives
5393  Job 244  finishes at CPU
5393  Job 244  finishes
5397  Job 66   finishes at Disk 2
5401  Job 380  arrives
5406  Job 163  finishes at Disk 1
5407  Job 245  finishes at CPU
5407  Job 245  finishes
5417  Job 381  arrives
5423  Job 246  finishes at CPU
5430  Job 382  arrives
5434  Job 107  finishes at CPU
5443  Job 383  arrives
5447  Job 153  finishes at Disk 2
5451  Job 164  finishes at Disk 1
5453  Job 247  finishes at CPU
5453  Job 384  arrives
5464  Job 385  arrives
5465  Job 248  finishes at CPU
5479  Job 101  finishes at CPU
5482  Job 386  arrives
5496  Job 249  finishes at CPU
5496  Job 249  finishes
5499  Job 387  arrives
5505  Job 154  finishes at Disk 2
5507  Job 166  finishes at Disk 1
5509  Job 388  arrives
5510  Job 250  finishes at CPU
5521  Job 44   finishes at CPU
5527  Job 389  arrives
5536  Job 251  finishes at CPU
5546  Job 390  arrives
5550  Job 102  finishes at CPU
5550  Job 102  finishes
5553  Job 167  finishes at Disk 1
5559  Job 391  arrives
5565  Job 252  finishes at CPU
5565  Job 252  finishes
5573  Job 155  finishes at Disk 2
5573  Job 392  arrives
5580  Job 253  finishes at CPU
5583  Job 393  arrives
5590  Job 8    finishes at CPU
5596  Job 169  finishes at Disk 1
5601  Job 254  finishes at CPU
5602  Job 394  arrives
5620  Job 255  finishes at CPU
5620  Job 395  arrives
5625  Job 65   finishes at Disk 2
5636  Job 104  finishes at CPU
5636  Job 104  finishes
5638  Job 396  arrives
5640  Job 171  finishes at Disk 1
5649  Job 256  finishes at CPU
5649  Job 256  finishes
5656  Job 397  arrives
5666  Job 257  finishes at CPU
5667  Job 398  arrives
5678  Job 160  finishes at Disk 2
5682  Job 17   finishes at CPU
5684  Job 399  arrives
5690  Job 76   finishes at Disk 1
5699  Job 258  finishes at CPU
5703  Job 400  arrives
5710  Job 105  finishes at CPU
5710  Job 105  finishes
5722  Job 401  arrives
5724  Job 259  finishes at CPU
5731  Job 161  finishes at Disk 2
5735  Job 402  arrives
5741  Job 48   finishes at CPU
5745  Job 174  finishes at Disk 1
5751  Job 260  finishes at CPU
5753  Job 403  arrives
5766  Job 261  finishes at CPU
5766  Job 404  arrives
5779  Job 46   finishes at CPU
5779  Job 46   finishes
5781  Job 405  arrives
5782  Job 67   finishes at Disk 2
5793  Job 262  finishes at CPU
5793  Job 262  finishes
5799  Job 30   finishes at Disk 1
5799  Job 406  arrives
5807  Job 115  finishes at CPU
5812  Job 407  arrives
5822  Job 263  finishes at CPU
5827  Job 408  arrives
5833  Job 165  finishes at Disk 2
5833  Job 264  finishes at CPU
5839  Job 409  arrives
5847  Job 265  finishes at CPU
5853  Job 410  arrives
5857  Job 179  finishes at Disk 1
5864  Job 411  arrives
5865  Job 266  finishes at CPU
5877  Job 117  finishes at CPU
5882  Job 412  arrives
5888  Job 70   finishes at Disk 2
5893  Job 413  arrives
5895  Job 110  finishes at CPU
5905  Job 180  finishes at Disk 1
5909  Job 414  arrives
5910  Job 267  finishes at CPU
5910  Job 267  finishes
5921  Job 415  arrives
5922  Job 268  finishes at CPU
5938  Job 416  arrives
5938  Job 269  finishes at CPU
5938  Job 269  finishes
5942  Job 168  finishes at Disk 2
5949  Job 417  arrives
5957  Job 270  finishes at CPU
5959  Job 78   finishes at Disk 1
5968  Job 418  arrives
5969  Job 112  finishes at CPU
5985  Job 118  finishes at CPU
5986  Job 419  arrives
5998  Job 172  finishes at Disk 2
5998  Job 271  finishes at CPU
6001  Job 420  arrives
6005  Job 182  finishes at Disk 1
6011  Job 421  arrives
6017  Job 272  finishes at CPU
6021  Job 422  arrives
6033  Job 273  finishes at CPU
6040  Job 423  arrives
6043  Job 274  finishes at CPU
6056  Job 183  finishes at Disk 1
6057  Job 173  finishes at Disk 2
6057  Job 120  finishes at CPU
6058  Job 424  arrives
6076  Job 275  finishes at CPU
6076  Job 425  arrives
6091  Job 114  finishes at CPU
6095  Job 426  arrives
6103  Job 185  finishes at Disk 1
6107  Job 427  arrives
6109  Job 276  finishes at CPU
6109  Job 276  finishes
6125  Job 428  arrives
6126  Job 175  finishes at Disk 2
6128  Job 277  finishes at CPU
6128  Job 277  finishes
6139  Job 49   finishes at CPU
6143  Job 429  arrives
6149  Job 186  finishes at Disk 1
6149  Job 278  finishes at CPU
6154  Job 430  arrives
6165  Job 279  finishes at CPU
6165  Job 431  arrives
6181  Job 432  arrives
6184  Job 116  finishes at CPU
6186  Job 5    finishes at Disk 2
6195  Job 82   finishes at Disk 1
6196  Job 280  finishes at CPU
6200  Job 433  arrives
6211  Job 434  arrives
6215  Job 281  finishes at CPU
6223  Job 435  arrives
6227  Job 51   finishes at CPU
6236  Job 436  arrives
6244  Job 177  finishes at Disk 2
6245  Job 282  finishes at CPU
6251  Job 79   finishes at Disk 1
6252  Job 437  arrives
6263  Job 283  finishes at CPU
6270  Job 438  arrives
6273  Job 284  finishes at CPU
6273  Job 284  finishes
6284  Job 439  arrives
6287  Job 47   finishes at CPU
6296  Job 32   finishes at Disk 2
6296  Job 440  arrives
6302  Job 285  finishes at CPU
6302  Job 285  finishes
6306  Job 441  arrives
6309  Job 83   finishes at Disk 1
6318  Job 21   finishes at CPU
6320  Job 442  arrives
6330  Job 286  finishes at CPU
6330  Job 286  finishes
6338  Job 443  arrives
6348  Job 287  finishes at CPU
6352  Job 16   finishes at Disk 1
6354  Job 444  arrives
6363  Job 181  finishes at Disk 2
6365  Job 445  arrives
6367  Job 288  finishes at CPU
6377  Job 289  finishes at CPU
6382  Job 446  arrives
6388  Job 53   finishes at CPU
6388  Job 53   finishes
6399  Job 84   finishes at Disk 1
6400  Job 447  arrives
6404  Job 19   finishes at CPU
6416  Job 448  arrives
6421  Job 290  finishes at CPU
6428  Job 77   finishes at Disk 2
6431  Job 449  arrives
6433  Job 291  finishes at CPU
6446  Job 292  finishes at CPU
6446  Job 292  finishes
6447  Job 450  arrives
6456  Job 126  finishes at CPU
6456  Job 126  finishes
6458  Job 195  finishes at Disk 1
6461  Job 451  arrives
6469  Job 293  finishes at CPU
6480  Job 452  arrives
6482  Job 294  finishes at CPU
6482  Job 294  finishes
6494  Job 80   finishes at Disk 2
6497  Job 119  finishes at CPU
6498  Job 453  arrives
6511  Job 295  finishes at CPU
6512  Job 86   finishes at Disk 1
6515  Job 454  arrives
6525  Job 455  arrives
6527  Job 296  finishes at CPU
6527  Job 296  finishes
6542  Job 128  finishes at CPU
6542  Job 128  finishes
6544  Job 456  arrives
6554  Job 457  arrives
6557  Job 187  finishes at Disk 2
6558  Job 297  finishes at CPU
6558  Job 297  finishes
6559  Job 197  finishes at Disk 1
6566  Job 458  arrives
6574  Job 298  finishes at CPU
6576  Job 459  arrives
6584  Job 122  finishes at CPU
6593  Job 460  arrives
6595  Job 299  finishes at CPU
6595  Job 299  finishes
6599  Job 34   finishes at Disk 1
6609  Job 54   finishes at CPU
6611  Job 461  arrives
6623  Job 300  finishes at CPU
6623  Job 462  arrives
6624  Job 188  finishes at Disk 2
6637  Job 463  arrives
6640  Job 87   finishes at Disk 1
6641  Job 301  finishes at CPU
6649  Job 464  arrives
6657  Job 123  finishes at CPU
6659  Job 465  arrives
6669  Job 302  finishes at CPU
6669  Job 466  arrives
6681  Job 467  arrives
6688  Job 131  finishes at CPU
6691  Job 189  finishes at Disk 2
6694  Job 203  finishes at Disk 1
6696  Job 468  arrives
6705  Job 303  finishes at CPU
6708  Job 469  arrives
6722  Job 304  finishes at CPU
6725  Job 470  arrives
6732  Job 305  finishes at CPU
6744  Job 471  arrives
6745  Job 191  finishes at Disk 2
6749  Job 306  finishes at CPU
6753  Job 36   finishes at Disk 1
6757  Job 472  arrives
6768  Job 124  finishes at CPU
6769  Job 473  arrives
6780  Job 20   finishes at CPU
6786  Job 474  arrives
6794  Job 307  finishes at CPU
6799  Job 205  finishes at Disk 1
6799  Job 475  arrives
6800  Job 192  finishes at Disk 2
6811  Job 308  finishes at CPU
6817  Job 476  arrives
6830  Job 309  finishes at CPU
6830  Job 477  arrives
6842  Job 478  arrives
6848  Job 310  finishes at CPU
6854  Job 207  finishes at Disk 1
6857  Job 193  finishes at Disk 2
6859  Job 479  arrives
6859  Job 127  finishes at CPU
6870  Job 480  arrives
6876  Job 133  finishes at CPU
6889  Job 481  arrives
6889  Job 311  finishes at CPU
6902  Job 482  arrives
6907  Job 312  finishes at CPU
6912  Job 208  finishes at Disk 1
6916  Job 483  arrives
6924  Job 194  finishes at Disk 2
6925  Job 313  finishes at CPU
6930  Job 484  arrives
6943  Job 314  finishes at CPU
6945  Job 485  arrives
6954  Job 7    finishes at CPU
6963  Job 209  finishes at Disk 1
6963  Job 486  arrives
6969  Job 52   finishes at CPU
6969  Job 52   finishes
6974  Job 487  arrives
6983  Job 198  finishes at Disk 2
6987  Job 315  finishes at CPU
6992  Job 488  arrives
6997  Job 316  finishes at CPU
7004  Job 489  arrives
7009  Job 317  finishes at CPU
7014  Job 490  arrives
7019  Job 37   finishes at Disk 1
7022  Job 137  finishes at CPU
7027  Job 491  arrives
7033  Job 318  finishes at CPU
7043  Job 492  arrives
7050  Job 199  finishes at Disk 2
7051  Job 129  finishes at CPU
7061  Job 493  arrives
7065  Job 319  finishes at CPU
7071  Job 213  finishes at Disk 1
7078  Job 494  arrives
7081  Job 320  finishes at CPU
7081  Job 320  finishes
7088  Job 495  arrives
7094  Job 138  finishes at CPU
7102  Job 200  finishes at Disk 2
7105  Job 321  finishes at CPU
7105  Job 321  finishes
7106  Job 496  arrives
7120  Job 322  finishes at CPU
7124  Job 497  arrives
7128  Job 93   finishes at Disk 1
7136  Job 323  finishes at CPU
7141  Job 498  arrives
7146  Job 130  finishes at CPU
7151  Job 499  arrives
7163  Job 202  finishes at Disk 2
7164  Job 324  finishes at CPU
7168  Job 500  arrives
7170  Job 217  finishes at Disk 1
7174  Job 140  finishes at CPU
7185  Job 501  arrives
7193  Job 325  finishes at CPU
7199  Job 502  arrives
7203  Job 326  finishes at CPU
7211  Job 94   finishes at Disk 1
7215  Job 327  finishes at CPU
7218  Job 503  arrives
7225  Job 132  finishes at CPU
7228  Job 204  finishes at Disk 2
7236  Job 504  arrives
7238  Job 141  finishes at CPU
7247  Job 505  arrives
7251  Job 220  finishes at Disk 1
7255  Job 328  finishes at CPU
7265  Job 329  finishes at CPU
7266  Job 506  arrives
7282  Job 507  arrives
7284  Job 330  finishes at CPU
7284  Job 330  finishes
7297  Job 39   finishes at Disk 2
7299  Job 90   finishes at Disk 1
7299  Job 331  finishes at CPU
7299  Job 331  finishes
7301  Job 508  arrives
7316  Job 509  arrives
7317  Job 143  finishes at CPU
7333  Job 510  arrives
7335  Job 135  finishes at CPU
7339  Job 3    finishes at Disk 1
7348  Job 511  arrives
7352  Job 332  finishes at CPU
7355  Job 206  finishes at Disk 2
7365  Job 512  arrives
7371  Job 333  finishes at CPU
7380  Job 222  finishes at Disk 1
7382  Job 513  arrives
7386  Job 334  finishes at CPU
7396  Job 514  arrives
7405  Job 335  finishes at CPU
7412  Job 515  arrives
7417  Job 144  finishes at CPU
7423  Job 91   finishes at Disk 2
7428  Job 224  finishes at Disk 1
7430  Job 516  arrives
7434  Job 136  finishes at CPU
7434  Job 136  finishes
7441  Job 517  arrives
7445  Job 336  finishes at CPU
7454  Job 518  arrives
7464  Job 337  finishes at CPU
7466  Job 519  arrives
7477  Job 228  finishes at Disk 1
7479  Job 520  arrives
7480  Job 338  finishes at CPU
7485  Job 210  finishes at Disk 2
7494  Job 521  arrives
7499  Job 58   finishes at CPU
7511  Job 339  finishes at CPU
7513  Job 522  arrives
7523  Job 523  arrives
7527  Job 95   finishes at Disk 1
7527  Job 340  finishes at CPU
7527  Job 340  finishes
7537  Job 524  arrives
7544  Job 15   finishes at Disk 2
7544  Job 55   finishes at CPU
7554  Job 525  arrives
7558  Job 341  finishes at CPU
7570  Job 231  finishes at Disk 1
7571  Job 526  arrives
7577  Job 146  finishes at CPU
7583  Job 527  arrives
7593  Job 528  arrives
7594  Job 342  finishes at CPU
7596  Job 214  finishes at Disk 2
7612  Job 529  arrives
7612  Job 343  finishes at CPU
7625  Job 148  finishes at CPU
7625  Job 148  finishes
7627  Job 41   finishes at Disk 1
7627  Job 530  arrives
7642  Job 60   finishes at CPU
7643  Job 531  arrives
7658  Job 344  finishes at CPU
7661  Job 532  arrives
7664  Job 215  finishes at Disk 2
7668  Job 233  finishes at Disk 1
7676  Job 345  finishes at CPU
7680  Job 533  arrives
7691  Job 534  arrives
7695  Job 346  finishes at CPU
7705  Job 347  finishes at CPU
7707  Job 535  arrives
7717  Job 100  finishes at Disk 1
7718  Job 57   finishes at CPU
7718  Job 536  arrives
7725  Job 218  finishes at Disk 2
7735  Job 537  arrives
7736  Job 348  finishes at CPU
7749  Job 538  arrives
7751  Job 149  finishes at CPU
7764  Job 349  finishes at CPU
7765  Job 539  arrives
7774  Job 97   finishes at Disk 1
7780  Job 219  finishes at Disk 2
7783  Job 350  finishes at CPU
7784  Job 540  arrives
7794  Job 541  arrives
7801  Job 351  finishes at CPU
7810  Job 542  arrives
7816  Job 352  finishes at CPU
7821  Job 543  arrives
7831  Job 103  finishes at Disk 1
7834  Job 221  finishes at Disk 2
7835  Job 150  finishes at CPU
7837  Job 544  arrives
7846  Job 142  finishes at CPU
7851  Job 545  arrives
7865  Job 353  finishes at CPU
7870  Job 546  arrives
7875  Job 354  finishes at CPU
7885  Job 239  finishes at Disk 1
7885  Job 547  arrives
7893  Job 355  finishes at CPU
7894  Job 223  finishes at Disk 2
7904  Job 548  arrives
7909  Job 356  finishes at CPU
7920  Job 549  arrives
7927  Job 152  finishes at CPU
7936  Job 550  arrives
7943  Job 43   finishes at Disk 1
7945  Job 357  finishes at CPU
7951  Job 92   finishes at Disk 2
7952  Job 551  arrives
7960  Job 62   finishes at CPU
7968  Job 552  arrives
7975  Job 358  finishes at CPU
7984  Job 553  arrives
7994  Job 359  finishes at CPU
7999  Job 45   finishes at Disk 1
8002  Job 554  arrives
8007  Job 226  finishes at Disk 2
8010  Job 360  finishes at CPU
8018  Job 555  arrives
8028  Job 64   finishes at CPU
8030  Job 556  arrives
8040  Job 557  arrives
8041  Job 361  finishes at CPU
8045  Job 246  finishes at Disk 1
8050  Job 558  arrives
8053  Job 145  finishes at CPU
8064  Job 559  arrives
8064  Job 362  finishes at CPU
8071  Job 230  finishes at Disk 2
8076  Job 363  finishes at CPU
8082  Job 560  arrives
8090  Job 107  finishes at Disk 1
8093  Job 68   finishes at CPU
8094  Job 561  arrives
8111  Job 364  finishes at CPU
8111  Job 562  arrives
8125  Job 563  arrives
8129  Job 365  finishes at CPU
8132  Job 6    finishes at Disk 2
8136  Job 247  finishes at Disk 1
8141  Job 564  arrives
8144  Job 147  finishes at CPU
8155  Job 565  arrives
8158  Job 366  finishes at CPU
8168  Job 156  finishes at CPU
8169  Job 566  arrives
8180  Job 567  arrives
8185  Job 367  finishes at CPU
8190  Job 232  finishes at Disk 2
8192  Job 101  finishes at Disk 1
8199  Job 568  arrives
8199  Job 368  finishes at CPU
8211  Job 369  finishes at CPU
8211  Job 369  finishes
8217  Job 569  arrives
8223  Job 158  finishes at CPU
8236  Job 570  arrives
8239  Job 251  finishes at Disk 1
8239  Job 370  finishes at CPU
8253  Job 235  finishes at Disk 2
8255  Job 571  arrives
8258  Job 13   finishes at CPU
8265  Job 572  arrives
8271  Job 371  finishes at CPU
8271  Job 371  finishes
8277  Job 573  arrives
8282  Job 372  finishes at CPU
8288  Job 253  finishes at Disk 1
8293  Job 574  arrives
8293  Job 373  finishes at CPU
8303  Job 575  arrives
8304  Job 237  finishes at Disk 2
8305  Job 69   finishes at CPU
8315  Job 576  arrives
8322  Job 374  finishes at CPU
8329  Job 577  arrives
8341  Job 63   finishes at CPU
8344  Job 254  finishes at Disk 1
8345  Job 578  arrives
8353  Job 375  finishes at CPU
8359  Job 579  arrives
8363  Job 238  finishes at Disk 2
8363  Job 376  finishes at CPU
8375  Job 580  arrives
8378  Job 377  finishes at CPU
8393  Job 581  arrives
8394  Job 162  finishes at CPU
8401  Job 255  finishes at Disk 1
8409  Job 582  arrives
8410  Job 378  finishes at CPU
8410  Job 378  finishes
8413  Job 240  finishes at Disk 2
8422  Job 379  finishes at CPU
8423  Job 583  arrives
8433  Job 584  arrives
8436  Job 66   finishes at CPU
8443  Job 585  arrives
8448  Job 380  finishes at CPU
8453  Job 258  finishes at Disk 1
8458  Job 163  finishes at CPU
8460  Job 586  arrives
8464  Job 241  finishes at Disk 2
8470  Job 381  finishes at CPU
8474  Job 587  arrives
8483  Job 382  finishes at CPU
8491  Job 588  arrives
8501  Job 383  finishes at CPU
8509  Job 260  finishes at Disk 1
8510  Job 589  arrives
8513  Job 153  finishes at CPU
8523  Job 242  finishes at Disk 2
8524  Job 164  finishes at CPU
8526  Job 590  arrives
8536  Job 384  finishes at CPU
8537  Job 591  arrives
8550  Job 592  arrives
8552  Job 385  finishes at CPU
8554  Job 261  finishes at Disk 1
8564  Job 386  finishes at CPU
8566  Job 593  arrives
8579  Job 387  finishes at CPU
8582  Job 594  arrives
8583  Job 243  finishes at Disk 2
8592  Job 154  finishes at CPU
8594  Job 595  arrives
8606  Job 596  arrives
8609  Job 166  finishes at CPU
8611  Job 263  finishes at Disk 1
8624  Job 597  arrives
8624  Job 388  finishes at CPU
8624  Job 388  finishes
8634  Job 598  arrives
8640  Job 389  finishes at CPU
8645  Job 248  finishes at Disk 2
8649  Job 599  arrives
8651  Job 390  finishes at CPU
8665  Job 600  arrives
8670  Job 265  finishes at Disk 1
8670  Job 167  finishes at CPU
8681  Job 391  finishes at CPU
8684  Job 601  arrives
8698  Job 155  finishes at CPU
8699  Job 602  arrives
8700  Job 250  finishes at Disk 2
8710  Job 603  arrives
8714  Job 392  finishes at CPU
8717  Job 117  finishes at Disk 1
8725  Job 604  arrives
8730  Job 393  finishes at CPU
8736  Job 605  arrives
8746  Job 606  arrives
8749  Job 169  finishes at CPU
8761  Job 394  finishes at CPU
8762  Job 268  finishes at Disk 1
8762  Job 607  arrives
8768  Job 44   finishes at Disk 2
8775  Job 608  arrives
8778  Job 395  finishes at CPU
8794  Job 609  arrives
8796  Job 65   finishes at CPU
8805  Job 112  finishes at Disk 1
8805  Job 610  arrives
8814  Job 396  finishes at CPU
8821  Job 8    finishes at Disk 2
8822  Job 611  arrives
8829  Job 171  finishes at CPU
8840  Job 612  arrives
8845  Job 397  finishes at CPU
8845  Job 397  finishes
8856  Job 613  arrives
8860  Job 398  finishes at CPU
8862  Job 118  finishes at Disk 1
8866  Job 614  arrives
8871  Job 160  finishes at CPU
8871  Job 160  finishes
8878  Job 615  arrives
8886  Job 257  finishes at Disk 2
8888  Job 399  finishes at CPU
8891  Job 616  arrives
8905  Job 76   finishes at CPU
8907  Job 617  arrives
8910  Job 273  finishes at Disk 1
8920  Job 618  arrives
8922  Job 400  finishes at CPU
8937  Job 619  arrives
8938  Job 401  finishes at CPU
8947  Job 17   finishes at Disk 2
8948  Job 161  finishes at CPU
8951  Job 620  arrives
8957  Job 120  finishes at Disk 1
8962  Job 402  finishes at CPU
8962  Job 402  finishes
8965  Job 621  arrives
8973  Job 174  finishes at CPU
8979  Job 622  arrives
8990  Job 403  finishes at CPU
8990  Job 623  arrives
9000  Job 624  arrives
9001  Job 404  finishes at CPU
9003  Job 114  finishes at Disk 1
9004  Job 259  finishes at Disk 2
9013  Job 405  finishes at CPU
9015  Job 625  arrives
9029  Job 626  arrives
9030  Job 67   finishes at CPU
9041  Job 30   finishes at CPU
9041  Job 30   finishes
9042  Job 627  arrives
9046  Job 278  finishes at Disk 1
9052  Job 406  finishes at CPU
9052  Job 628  arrives
9063  Job 48   finishes at Disk 2
9065  Job 407  finishes at CPU
9067  Job 629  arrives
9078  Job 630  arrives
9082  Job 408  finishes at CPU
9088  Job 279  finishes at Disk 1
9088  Job 631  arrives
9092  Job 165  finishes at CPU
9102  Job 409  finishes at CPU
9103  Job 632  arrives
9112  Job 410  finishes at CPU
9116  Job 633  arrives
9118  Job 115  finishes at Disk 2
9122  Job 179  finishes at CPU
9122  Job 179  finishes
9131  Job 634  arrives
9139  Job 116  finishes at Disk 1
9141  Job 411  finishes at CPU
9150  Job 635  arrives
9160  Job 412  finishes at CPU
9167  Job 636  arrives
9173  Job 70   finishes at CPU
9178  Job 264  finishes at Disk 2
9179  Job 51   finishes at Disk 1
9184  Job 413  finishes at CPU
9185  Job 637  arrives
9199  Job 638  arrives
9201  Job 180  finishes at CPU
9211  Job 414  finishes at CPU
9211  Job 414  finishes
9218  Job 639  arrives
9222  Job 415  finishes at CPU
9229  Job 266  finishes at Disk 2
9231  Job 283  finishes at Disk 1
9235  Job 640  arrives
9238  Job 416  finishes at CPU
9246  Job 641  arrives
9251  Job 168  finishes at CPU
9251  Job 168  finishes
9261  Job 642  arrives
9267  Job 417  finishes at CPU
9273  Job 643  arrives
9282  Job 78   finishes at CPU
9285  Job 47   finishes at Disk 1
9286  Job 644  arrives
9290  Job 110  finishes at Disk 2
9296  Job 418  finishes at CPU
9296  Job 418  finishes
9299  Job 645  arrives
9310  Job 419  finishes at CPU
9311  Job 646  arrives
9322  Job 172  finishes at CPU
9323  Job 647  arrives
9326  Job 288  finishes at Disk 1
9337  Job 420  finishes at CPU
9339  Job 648  arrives
9341  Job 270  finishes at Disk 2
9354  Job 649  arrives
9355  Job 182  finishes at CPU
9366  Job 650  arrives
9367  Job 289  finishes at Disk 1
9367  Job 421  finishes at CPU
9378  Job 651  arrives
9383  Job 422  finishes at CPU
9383  Job 422  finishes
9388  Job 652  arrives
9395  Job 423  finishes at CPU
9406  Job 653  arrives
9410  Job 271  finishes at Disk 2
9413  Job 19   finishes at Disk 1
9413  Job 183  finishes at CPU
9413  Job 183  finishes
9425  Job 654  arrives
9426  Job 173  finishes at CPU
9440  Job 655  arrives
9441  Job 424  finishes at CPU
9451  Job 656  arrives
9451  Job 425  finishes at CPU
9451  Job 425  finishes
9457  Job 293  finishes at Disk 1
9467  Job 272  finishes at Disk 2
9467  Job 657  arrives
9468  Job 426  finishes at CPU
9478  Job 658  arrives
9480  Job 185  finishes at CPU
9488  Job 659  arrives
9495  Job 427  finishes at CPU
9495  Job 427  finishes
9499  Job 660  arrives
9503  Job 295  finishes at Disk 1
9505  Job 428  finishes at CPU
9513  Job 661  arrives
9522  Job 175  finishes at CPU
9530  Job 662  arrives
9532  Job 274  finishes at Disk 2
9535  Job 429  finishes at CPU
9540  Job 663  arrives
9546  Job 186  finishes at CPU
9546  Job 186  finishes
9550  Job 298  finishes at Disk 1
9550  Job 664  arrives
9556  Job 430  finishes at CPU
9569  Job 665  arrives
9569  Job 431  finishes at CPU
9581  Job 432  finishes at CPU
9586  Job 666  arrives
9592  Job 54   finishes at Disk 1
9593  Job 5    finishes at CPU
9599  Job 275  finishes at Disk 2
9601  Job 667  arrives
9604  Job 82   finishes at CPU
9618  Job 668  arrives
9620  Job 433  finishes at CPU
9630  Job 669  arrives
9635  Job 434  finishes at CPU
9635  Job 434  finishes
9640  Job 300  finishes at Disk 1
9647  Job 670  arrives
9652  Job 435  finishes at CPU
9658  Job 49   finishes at Disk 2
9662  Job 671  arrives
9663  Job 436  finishes at CPU
9674  Job 177  finishes at CPU
9674  Job 177  finishes
9676  Job 672  arrives
9685  Job 302  finishes at Disk 1
9688  Job 673  arrives
9692  Job 79   finishes at CPU
9698  Job 674  arrives
9707  Job 437  finishes at CPU
9707  Job 437  finishes
9709  Job 675  arrives
9724  Job 676  arrives
9726  Job 438  finishes at CPU
9727  Job 280  finishes at Disk 2
9733  Job 131  finishes at Disk 1
9740  Job 677  arrives
9741  Job 439  finishes at CPU
9753  Job 32   finishes at CPU
9753  Job 32   finishes
9759  Job 678  arrives
9768  Job 440  finishes at CPU
9768  Job 440  finishes
9769  Job 679  arrives
9773  Job 305  finishes at Disk 1
9781  Job 680  arrives
9783  Job 281  finishes at Disk 2
9783  Job 441  finishes at CPU
9797  Job 83   finishes at CPU
9798  Job 681  arrives
9809  Job 682  arrives
9813  Job 124  finishes at Disk 1
9816  Job 442  finishes at CPU
9820  Job 683  arrives
9831  Job 684  arrives
9833  Job 443  finishes at CPU
9839  Job 282  finishes at Disk 2
9845  Job 685  arrives
9852  Job 16   finishes at CPU
9863  Job 686  arrives
9864  Job 20   finishes at Disk 1
9867  Job 444  finishes at CPU
9877  Job 687  arrives
9877  Job 181  finishes at CPU
9890  Job 688  arrives
9896  Job 445  finishes at CPU
9908  Job 21   finishes at Disk 2
9908  Job 689  arrives
9911  Job 446  finishes at CPU
9922  Job 308  finishes at Disk 1
9927  Job 690  arrives
9929  Job 84   finishes at CPU
9938  Job 691  arrives
9939  Job 447  finishes at CPU
9957  Job 692  arrives
9958  Job 448  finishes at CPU
9958  Job 448  finishes
9962  Job 287  finishes at Disk 2
9971  Job 127  finishes at Disk 1
9974  Job 77   finishes at CPU
9976  Job 693  arrives
9987  Job 449  finishes at CPU
9991  Job 694  arrives
10000 Job 450  finishes at CPU
10000 Job 450  finishes
10009 Job 695  arrives
10011 Job 195  finishes at CPU
10011 Job 195  finishes
10012 Job 290  finishes at Disk 2
10022 Job 696  arrives
10026 Job 451  finishes at CPU
10027 Job 133  finishes at Disk 1
10036 Job 697  arrives
10038 Job 452  finishes at CPU
10051 Job 698  arrives
10057 Job 80   finishes at CPU
10064 Job 291  finishes at Disk 2
10066 Job 699  arrives
10069 Job 453  finishes at CPU
10069 Job 453  finishes
10074 Job 313  finishes at Disk 1
10076 Job 700  arrives
10080 Job 86   finishes at CPU
10088 Job 701  arrives
10093 Job 454  finishes at CPU
10107 Job 702  arrives
10107 Job 455  finishes at CPU
